SUBID,SBi,SBarea_ac,SBarea_m2,Zone,Headwater,River,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
1,SB1,28590.93279,115703502.3,3,Y,LES,4,0,6425.792565,0.21752526,17,1.54,17.89,26.13,M85.68,0.04,0.035,28.59049008,224.7527953,0.499670105,0.994810896,0.999996576,-0.994807473,1,0.062431332
2,SB2,3912.617189,15833814,3,F,LES,0,1,3718.061325,0.051833491,47.5,2.69,52.88,127.94,L1.94,0.04,0.035,19.53870925,190.2920647,0.495807173,0.995604852,0.999963144,-0.995567996,1,0.052858907
3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41,3.28,47.56,134.59,L4.49,0.04,0.035,29.5438116,220.6641385,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.62697,0.112367785,30,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.499798569,0.971806519,0.999988642,-0.97179516,1,0.343161181
5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766649,25,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858009,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
6,SB6,551.5145009,2231901.973,3,F,LES,3,2,3182.497834,0.186356325,41,1.47,41.59,60.09,L11.53,0.04,0.035,26.27211055,121.1359791,0.499258643,0.997199858,0.999995848,-0.997195706,1,0.033648883
7,SB7,1647.179762,6665905.892,3,F,LES,6,1,2849.360749,0.087036891,38,1.85,38.06,70.12,L15.15,0.04,0.035,21.11289583,134.9583104,0.497767822,0.996880859,0.999986075,-0.996866934,1,0.03748842
8,SB8,2148.729555,8695607.687,3,F,MAP,3,1,5825.29004,0.259009816,28.5,2.06,29.62,58.68,M2.2,0.04,0.035,38.22746659,152.3849357,0.499590614,0.996478786,0.999997117,-0.996475903,1,0.042329149
9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.83476,0.059100696,17,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.159714,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
10,SB10,9332.478363,37767233.39,3,F,LES,5,2,9563.208512,0.0345151,25.5,2.15,24.59,54.9,L58.81,0.03,0.035,15.11220438,632.8136037,0.498043226,0.985458459,0.999943091,-0.98540155,1,0.175781557
11,SB11,3917.855823,15855014.02,3,F,COB,6,1,9769.797975,0.242330825,29,2.02,30.26,58.62,L13.66,0.04,0.035,36.42808117,268.194142,0.499743862,0.993811023,0.99999683,-0.993807853,1,0.074498373
12,SB12,5586.212517,22606619.99,3,Y,COB,13,0,947.8427125,0.736056089,17,1.54,17.89,26.13,M85.68,0.04,0.035,52.59230511,18.02245995,0.499339056,0.999582901,0.999999449,-0.999582349,1,0.005006239
13,SB13,6895.871038,27906624.67,3,F,COB,11,2,20782.39682,0.102067467,33.5,2.18,34.73,72.91,M14.92,0.04,0.035,24.94284092,833.2008726,0.499692192,0.980897274,0.99998824,-0.980885514,1,0.231444687
14,SB14,5365.94278,21715219.2,3,F,COB,13,2,14133.74675,0.022372114,23,1.98,24.78,45.58,M38.94,0.04,0.035,10.69258966,1321.826349,0.498119803,0.969864935,0.99988668,-0.969751616,1,0.367173986
15,SB15,13233.23449,53553047.33,3,F,COB,16,2,29115.97113,0.032974026,17,1.54,17.89,26.13,M85.68,0.04,0.035,11.13147568,2615.643421,0.499519705,0.941233485,0.999943549,-0.941177034,1,0.726567617
16,SB16,1836.783722,7433206.573,3,F,COB,14,1,2886.101731,0.046789861,13.3,2.28,15.38,30.32,M77.74,0.04,0.035,16.19465967,178.2131758,0.494935514,0.995883272,0.999958302,-0.995841574,1,0.04950366
17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.669105,0.499325905,0.966952551,0.999955446,-0.966907997,1,0.403241418
18,SB18,75377.00085,305040169.7,1,F,LES,10,2,81938.33837,0.053856536,23.5,3.64,22.89,85.43,L67.14,0.02,0.035,26.58946858,3081.608725,0.499752863,0.931124254,0.999965956,-0.931090211,1,0.856002424
19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.999983929,-0.958765764,1,0.50503025
20,SB20,40398.69047,163487844.5,2,Y,COB,15,0,20491.17316,0.052765134,8.5,0.77,8.945,13.065,M85.68/2,0.02,0.035,14.0812197,1455.212943,0.499573521,0.966872942,0.999971744,-0.966844686,1,0.404225817
21,SB21,1248.129282,5051004.466,3,F,MAP,19,2,5495.269119,0.036956388,25.5,2.6,28.31,66.32,M42.73,0.04,0.035,16.14712592,340.3249064,0.496158091,0.992153254,0.999939707,-0.992092961,1,0.094534696
22,SB22,585.3432276,2368802.094,3,F,MAP,21,2,3975.391052,0.037153326,17,1.9,18.03,32.25,M46.19,0.04,0.035,13.52494631,293.9302651,0.496146774,0.993219304,0.999947745,-0.993167049,1,0.081647296
23,SB23,17341.28733,70177762.04,2,Y,MAP,21,0,4449.680374,0.197456744,17,1.54,17.89,26.13,M85.68,0.02,0.035,27.23972617,163.3526103,0.499475179,0.996225833,0.999996038,-0.996221871,1,0.045375725
24,SB24,32703.80418,132347717,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
25,SB25,26722.00066,108140195.6,2,F,MAP,22,2,34878.27561,0.028701591,18.9,1.89,19.77,35.68,M70.11,0.02,0.035,11.95856702,2916.593231,0.499434252,0.934693311,0.999926106,-0.934619417,1,0.810164786
26,SB26,54292.3141,219713394.2,1,Y,LES,18,0,36881.54942,0.108188459,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,24.62557692,1497.692807,0.499828601,0.965922108,0.999988318,-0.965910426,1,0.41602578
27,SB27,93032.68036,376490232.8,1,Y,COB,14,0,92124.88166,0.067023678,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,19.38251257,4752.98965,0.499889237,0.89571522,0.999976898,-0.895692118,1,1.320274903
28,SB28,55650.2323,225208699.1,1,Y,MAP,25,0,36447.29581,0.036466733,17,1.54,17.89,26.13,M85.68,0.02,0.035,11.7061795,3113.509049,0.499653064,0.930436558,0.999951732,-0.93038829,1,0.864863625
29,SB29,53418.30237,216176391.1,2,Y,MAP,22,0,36103.20418,0.046017184,18.9,1.89,19.77,35.68,M70.11,0.02,0.035,15.14210233,2384.292708,0.499659107,0.946291197,0.999963382,-0.946254579,1,0.66230353
30,SB30,42632.62196,172528252.5,1,Y,MAP,25,0,23150.09668,0.044253206,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
